#>> IPFilter Xunlei (Thunder) Offline Server (2012-07-08)
#>> Home http://emulefans.com/xunlei-server-ip-120622/

58.61.39.1      - 58.61.39.255    ,   0 , [EX]XunleiOffline
58.61.152.1     - 58.61.152.255   ,   0 , [EX]XunleiOffline
58.222.25.1     - 58.222.25.255   ,   0 , [EX]XunleiOffline
58.251.57.1     - 58.251.57.255   ,   0 , [EX]XunleiOffline
58.251.59.1     - 58.251.59.255   ,   0 , [EX]XunleiOffline
58.251.61.0     - 58.251.61.255   ,   0 , [EX](QQOffline)
58.252.209.1    - 58.252.209.255  ,   0 , [EX]XunleiOffline
58.254.134.1    - 58.254.134.255  ,   0 , [EX]XunleiOffline
58.255.249.1    - 58.255.249.255  ,   0 , [EX]XunleiOffline
58.255.253.1    - 58.255.253.255  ,   0 , [EX]XunleiOffline
59.74.44.0      - 59.74.45.255    ,   0 , [EX](QQOffline)
60.18.146.1     - 60.18.147.255   ,   0 , [EX]XunleiOffline
60.19.64.1      - 60.19.64.255    ,   0 , [EX]XunleiOffline
60.21.219.1     - 60.21.219.255   ,   0 , [EX]XunleiOffline
61.178.227.1    - 61.178.227.255  ,   0 , [EX]XunleiOffline
60.214.64.1     - 60.214.64.255   ,   0 , [EX]XunleiOffline
60.217.235.1    - 60.217.235.255  ,   0 , [EX]XunleiOffline
60.221.254.1    - 60.221.254.255  ,   0 , [EX]XunleiOffline
61.54.12.1      - 61.54.12.255    ,   0 , [EX]XunleiOffline
61.137.191.1    - 61.137.191.255  ,   0 , [EX]XunleiOffline
61.139.103.1    - 61.139.103.255  ,   0 , [EX]XunleiOffline
61.147.76.1     - 61.147.76.255   ,   0 , [EX]XunleiOffline
61.152.105.1    - 61.152.105.255  ,   0 , [EX]XunleiOffline
61.183.55.1     - 61.183.55.255   ,   0 , [EX]XunleiOffline
61.188.190.1    - 61.188.190.255  ,   0 , [EX]XunleiOffline
61.235.71.1     - 61.235.71.255   ,   0 , [EX]XunleiOffline
111.161.24.1    - 111.161.24.255  ,   0 , [EX]XunleiOffline
112.90.17.1     - 112.90.17.255   ,   0 , [EX]XunleiOffline
113.142.8.0     - 113.142.8.255   ,   0 , [EX](QQOffline)
113.142.10.0    - 113.142.10.255  ,   0 , [EX](QQOffline)
113.142.13.0    - 113.142.13.255  ,   0 , [EX](QQOffline)
113.142.26.0    - 113.142.26.255  ,   0 , [EX](QQOffline)
114.80.183.1    - 114.80.183.255  ,   0 , [EX]XunleiOffline
114.80.188.1    - 114.80.189.255  ,   0 , [EX]XunleiOffline
114.80.245.1    - 114.80.245.255  ,   0 , [EX]XunleiOffline
116.55.230.1    - 116.55.230.255  ,   0 , [EX]XunleiOffline
117.34.91.1     - 117.34.91.255   ,   0 , [EX]XunleiOffline
